Nimi,Valuutta,Tietoa,Rating,Riski,Vastuullisuus (SFDR),Omistajia Nordnetissä,Kulut,Kategoria,Yläluokka,Alakategoria
Nordea 1 - Eur Sust Stars Equity BP EUR,EUR,"The investment objective of the fund is to provide shareholders with investment growth in the long term. The fund mainly invests in equities of European companies. Specifically, the fund invests at least 75% of total assets in equities and equity-related securities issued by companies that are domiciled, or conduct the majority of their business, in Europe.",3 stars,4 / 7,8,389,"1,81%",Maantiede,Kehittyneet maat – suuret yhtiöt,Eurooppa suuret sekatyyli
JPM Pacific Equity A (dist) USD,USD,"Rahasto sijoitaa varansa Japanin ja Tyynenmeren alueen arvopapereihin, poislukien USA:n.",4 stars,4 / 7,8,287,"1,73%",Maantiede,Aasia ei-Japani / Aasia-Tyynimeri,Aasia-Tyynimeri
Allianz Total Return Asian Eq A EUR,EUR,"Long-term capital growth and income by investing in the equity markets of the Republic of Korea, Taiwan, Thailand, Hong Kong, Malaysia, Indonesia, the Phillippines, Singapore and/or the PRC.",2 stars,4 / 7,8,154,"2,10%",Maantiede,Aasia ei-Japani / Aasia-Tyynimeri,Aasia ei-Japani
Fidelity Asia Eq ESG A-Dis-USD,USD,"Fidelity South East Asia Fund on osakerahasto, joka sijoittaa pääasiallisesti Tyynenmeren alueen (ei Japanin) markkina-arvoltaan suuriin yrityksiin joko suoraan tai erikoisrahastojen kautta.",3 stars,4 / 7,8,181,"1,92%",Maantiede,Aasia ei-Japani / Aasia-Tyynimeri,Aasia ei-Japani
Delphi Global A,NOK,"Rahasto on osakerahasto, joka pyrkii saavuttamaan mahdollisimman suuren arvonnousun globaalissa sijoitusympäristössä. Varainhoitaja tekee trendi- ja perusteanalyysejä yksittäisistä yrityksistä ja toimialoista sekä pyrkii saavuttamaan pitkäaikaista tuottoa aktiivisella ja indekseistä riippumattomalla arvioinnilla. Salkku koostuu kulloinkin vähintään viidellä toimialalla toimivasta 40–60 suuresta ja keskisuuresta yrityksestä. Enintään 20 prosenttia varoista voidaan siirtää pankkitalletuksiin aikoina, jolloin markkinoilla on paljon epävarmuutta. Rahasto on UCITS-rahasto. Rahaston vertailuindeksi on MSCI World NR USD. Vuotuinen hallinnointipalkkio: Hallinnointipalkkio koostuu kiinteästä 2 prosentin osasta ja symmetrisestä muuttujasta, joka on enintään +/- 2 prosenttia. Hallinnointipalkkion kokonaisveloitus ei voi ylittää 4,0 prosenttia vuodessa",5 stars,4 / 7,8,723,"1,50%",Tyyli,kasvuosakkeet,
SEB Europe Exposure Fund C EUR,EUR,SEB Europe Exposure Fund pyrkii kasvattamaan rahastosijoituksen arvoa ajan myötä seuraamalla vertailuindeksin tuottoa.,3 stars,4 / 7,8,693,"0,31%",Maantiede,Kehittyneet maat – suuret yhtiöt,Eurooppa suuret sekatyyli
Storebrand Europa Plus A EUR,EUR,"Storebrand Europa Plus on indeksiä lähellä oleva vastuullinen osakerahasto,joka sijoittaa laajasti osakkeisiin eri toimialoilla Euroopan osakemarkkinoilla. Rahaston kehitystä verrataan Euroopan osakemarkkinoita kuvaavaan indeksiin. Rahasto keskittyy kestävän kehityksen yrityksiin ja voi sijoittaa jopa 10 prosenttia rahaston varoista ratkaisuyrityksiin.Rahasto noudattaa vastuullisen sijoittamisen periaatteitamme.Niiden mukaisesti emme sijoita muun muassa yrityksiin,jotka rikkovat kansainvälisiä sääntöjä ja sopimuksia.Nämä koskevat ihmisoikeuksia,työlainsäädäntöä ja kansainvälistä oikeutta,korruptiota, talousrikollisuutta,vakavia ilmasto- ja ympäristövahinkoja ja kiistanalaisia aseita. Suljemme pois myös yritykset,joiden liikevaihdosta yli 5 % tulee tupakkatuotteiden,aseiden,alkoholin,uhkapelien,pornografian, kannabistuotteiden ja fossiilisten polttoaineiden valmistamisesta ja/tai jakelusta, sekä yritykset,joilla on suuret fossiilisten polttoaineiden varannot.",3 stars,4 / 7,8,270,"0,42%",Maantiede,Kehittyneet maat – suuret yhtiöt,Eurooppa suuret sekatyyli
BGF Sustainable Energy A2,EUR,MST New Energy-rahasto pyrkii US-dollarimääräiseen arvonnousuun. Rahasto sijoittaa maailmanlaajuisesti lähinna listattuihin yrityksiin. Merkittävä osa yritysten liikevaihdosta koostuu ns. vaihtoehtoisten energioiden tuottamisesta ja siihen liittyvästä teknologian hyödyntämisestä.,4 stars,5 / 7,9,3964,"1,96%",Sektori,Uusiutuva energia,
Pictet - Robotics P EUR,EUR,"The investment objective of the fund is to increase the value of your investment while seeking to achieve a positive social impact. The Fund invests mainly in equities and equity related securities issued by companies that contribute to and/or profit from the value chain in robotics and enabling technologies. The targeted companies will be active mainly, but not exclusively, in the following areas: Robotics applications and components, automation, autonomous systems, sensors, microcontrollers, 3D printing, data processing, actuation technology as well as image, motion or voice recognition and other enabling technologies and software.",3 stars,5 / 7,8,891,"1,98%",Sektori,Teknologia,
GS Emerging Markets Eq E Acc EUR,EUR,For investors seeking long-term capital appreciation by investing primarily in the equity securities of emerging country issuers.,3 stars,4 / 7,8,31,"2,44%",Maantiede,Kehittyvät maat,Kehittyvät maat
BGF Sustainable Energy A2,USD,MST New Energy-rahasto pyrkii US-dollarimääräiseen arvonnousuun. Rahasto sijoittaa maailmanlaajuisesti lähinna listattuihin yrityksiin. Merkittävä osa yritysten liikevaihdosta koostuu ns. vaihtoehtoisten energioiden tuottamisesta ja siihen liittyvästä teknologian hyödyntämisestä.,4 stars,5 / 7,9,70,"1,96%",Sektori,Uusiutuva energia,
Fidelity Sustainable Euroz Eq A-Inc-EUR,EUR,"The fund aims to achieve capital growth over the long term by investing in sustainable investments. The fund invests at least 70% of its assets, in equities of companies that are listed, headquartered, or do most of their business in the Economic and Monetary Union (EMU) and denominated in Euro.",2 stars,4 / 7,9,76,"1,92%",Maantiede,Kehittyneet maat – suuret yhtiöt,Euroalue suuret
Fidelity Sustainable Euroz Eq A-Acc-EUR,EUR,"The fund aims to achieve capital growth over the long term by investing in sustainable investments. The fund invests at least 70% of its assets, in equities of companies that are listed, headquartered, or do most of their business in the Economic and Monetary Union (EMU) and denominated in Euro.",2 stars,4 / 7,9,158,"1,92%",Maantiede,Kehittyneet maat – suuret yhtiöt,Euroalue suuret
Franklin Technology A Acc USD,USD,"Rahasto sijoittaa vähintään kaksi kolmasosaa sijoitetuista nettovaroistaan sellaisten yhdysvaltalaisten ja muunmaalaisten yhtiöiden arvopapereihin, joiden se arvioi hyötyvän teknologian ja viestintäpalveluiden ja - laitteiden kehityksestä, edistyksestä ja käytöstä.",3 stars,5 / 7,8,4244,"1,78%",Sektori,Teknologia,
BGF Emerging Markets Ex-China A2 H,"EUR","The Fund seeks to maximise total return through a combination of capital growth and income on Fund assets. The Fund invests globally at least 80% of its total assets in the equity securities of companies domiciled in, or exercising the predominant part of their economic activity in, emerging markets, excluding China. Investments may also be made in the equity securities of companies domiciled in, or exercising the predominant part of their economic activity in, developed markets that have significant business operations in emerging markets (excluding China). The Fund may indirectly invest in emerging markets securities (excluding China) by investing in American Depository Receipts (ADRs) and Global Depositary Receipts (GDRs), which are listed or traded on stock-exchanges and regulated markets outside emerging markets. ADRs and GDRs are investments issued by financial institutions which give exposure to underlying equity securities.",0 stars,4 / 7,6,1291,"1,88%",Muut,,
BGF Euro-Markets A2,EUR,"Euro Markets Fund -rahasto pyrkii maksimoimaan kokonaistuoton. Rahasto sijoittaa vähintään 70 prosenttia kokonaisvarallisuudestaan Euroopan rahaliittoon kuuluvissa EU-maissa sijaitsevien yhtiöiden osakkeisiin. Se voi myös sijoittaa, rajoituksetta, sellaisiin EU-maihin, jotka sijoitusneuvojan mielestä todennäköisesti liittyvät rahaliittoon lähitulevaisuudessa, sekä muualla sijaitseviin yhtiöihin, jotka harjoittavat liiketoimintaansa pääasiassa EMU-maissa.",3 stars,4 / 7,8,136,"1,82%",Maantiede,Kehittyneet maat – suuret yhtiöt,Euroalue suuret
JPM US Technology A (dist) USD,USD,"Rahasto sijoittaa varansa sellaisten yritysten osakkeisiin, joiden toiminta liittyy Yhdysvaltain teknologiateollisuuteen.",4 stars,6 / 7,8,9397,"1,71%",Sektori,Teknologia,
JPM Europe Sustainable Equity A (acc)EUR,EUR,To provide long-term capital growth by investing primarily in European companies with positive E/S characteristics or companies that demonstrate improving E/S characteristics. Companies with positive E/S characteristics are those that the Investment Manager believes to have effective governance and superior management of environmental and social issues (sustainable characteristics).,4 stars,4 / 7,8,34,"1,73%",Maantiede,Kehittyneet maat – suuret yhtiöt,Eurooppa suuret sekatyyli
DWS Invest II ESG Eurp Top Div LC,EUR,"The objective of the investment policy of the fund is to achieve an above average return. The sub-fund is actively managed and is not managed in reference to a benchmark. At least 70% of the sub-fund’s assets are invested in equities, stock certificates, participation and dividend-right certificates, convertible bonds, American Depository Receipts (ADRs) and Global Depository Receipts (GDRs), listed on recognized exchanges and markets and issued by international financial institutions, and equity warrants of European issuers.",2 stars,4 / 7,8,156,"1,59%",Tyyli,osinko-osakkeet,
SEB Nordenfond,SEK,"SEB Nordenfond on osakerahasto joka sijoittaa varansa Ruotsin, Tanskan, Suomen ja Norjan osakemarkkinoille sekä osakesidonnaisiin sijoitusinstrumentteihin. Normaalitilanteessa rahaston varoista noin puolet sijoitetaan Ruotsin osakemarkkinoille. Siten SEB Nordenfondin kautta sijoittaja voi hajauttaa varansa tehokkaasti pohjoismaisille osakemarkkinoille. Alueellisen hajautuksen ansiosta rahaston kehitys on tasaisempaa kuin esimerkiksi kotimaisilla markkinoilla. Ruotsin markkinoiden kehitys tulee vaikuttamaan rahaston kehitykseen voimakkaimmin.",5 stars,4 / 7,8,343,"1,30%",Maantiede,Kehittyneet maat – small/mid ja keskisuuret,Pohjoismaat
Invesco Pan European Equity A EUR Acc,EUR,Rahaston tavoitteena on pitkän aikavälin pääomankasvu. Rahasto aikoo sijoittaa ensisijaisesti yritysten osakkeisiin. Rahasto sijoittaa ensisijaisesti Eurooppaan. Rahastoa hallinnoidaan aktiivisesti sen tavoitteiden puitteissa eikä sitä ole sidottu vertailuindeksiin.,2 stars,4 / 7,8,108,"1,97%",Tyyli,arvoyhtiöt,
BGF World Technology A2,USD,"Rahaston tavoitteena on maksimoida Yhdysvaltain dollareissa esitetty pääoman arvonnousu sijoittamalla ensisijaisesti maailmanlaajuisesti vähintään kaksi kolmasosaa Rahaston nettovaroista sellaisten yhtiöiden osakkeisiin, jotka saavat tai tulevat todennäköisesti saamaan suuren osan myyntituloistaan teknisistä tuotteista ja palveluista. Rahasto sijoittaa tässä tarkoituksessa maailmanlaajuisesti eri kehitysvaiheessa oleviin yhtiöihin, mukaan luettuna yhtiöt, joita sijoitusneuvoja pitää tuote- tai palvelumarkkinaraon nykyisinä tai tulevina kärkiniminä. Rahasto voi kuitenkin tasapainotuksen vuoksi sijoittaa myös sidottuihin korkoinstrumentteihin. Tasapainotukseen kuuluu arvopaperisalkun täydentäminen rahamarkkinoiden arvopapereilla. Rahasto voi rajoittaa sijoituksia ilmoitetuille arvopaperimarkkinoille ja lisätä Yhdysvaltain arvopaperisijoitusten osuutta.",4 stars,5 / 7,8,14867,"1,80%",Sektori,Teknologia,
BNP Paribas Europe Convertible C Cap,EUR,"Parvest European Convertible Bond pyrkii mahdollisimman suuriin tuottoihin keskipitkällä aikavälillä kohdistamalla sijoituksensa niille Euroopan maantieteellisille alueille ja liiketoiminta-alueille, joille on ennustettu suurinta kasvua.",2 stars,3 / 7,8,18,"1,61%",Korko,Vaihtovelkakirjat,
Allianz Cyber Security AT USD Acc,USD,The investment objective of the fund is long-term capital growth by investing in the global Equity Markets with a focus on companies whose business will benefit from or is currently related to cyber security.,3 stars,5 / 7,8,1271,"2,10%",Sektori,Teknologia,
Allianz China A Shares AT USD,USD,Long-term capital growth by investing in China A-Shares equity markets of the PRC.,4 stars,5 / 7,8,149,"2,30%",Maantiede,Aasia ei-Japani / Aasia-Tyynimeri,Kiina A-sarja
Invesco Sus Pan Eurp Sysmc Eq A EUR Acc,EUR,"Rahaston tavoitteena on pitkän aikavälin pääomankasvu. Rahasto aikoo sijoittaa ensisijaisesti eurooppalaisten yritysten osakkeisiin. Rahastoa hallinnoidaan ”kvantitatiivisin menetelmin”. Määritelmämme mukaan ”kvantitatiiviset menetelmät” ovat matemaattisia, loogisia ja tilastollisia tekniikoita, joita käytetään sijoituskohteiden valinnassa. Rahastoa hallinnoidaan aktiivisesti sen tavoitteiden puitteissa eikä sitä ole sidottu vertailuindeksiin.",3 stars,4 / 7,8,159,"1,58%",Maantiede,Kehittyneet maat – suuret yhtiöt,Eurooppa suuret sekatyyli
Jupiter Global Value L USD Acc,USD,"The investment objective of the fund is to achieve long term total return principally through investment in equities on an international basis. The Fund will invest primarily in equity and equity related securities (including listed preference shares, listed convertible unsecured loan stock, listed warrants, depositary receipts and other similar securities). Issuers of these securities may be located in any country (including without limit in Emerging Markets).",4 stars,4 / 7,6,237,"1,74%",Maantiede,Maailma,
CT (Lux) Rspnb Glb Em Mkts Eq A Inc USD,USD,"The purpose of the Portfolio is to provide a medium through which investors may participate in an actively managed portfolio, primarily invested in equity and equity-related securities of companies in emerging markets worldwide. The Portfolio may, as described below, invest in companies which are listed or traded on a recognised exchange in emerging market countries worldwide, which have, in the opinion of the Investment Manager, the potential for generating long term returns and contribute to or benefit from the sustainable economic development of the emerging market countries. The subscription proceeds relating to the different Classes of Shares in issue shall be invested in one common underlying portfolio of investments. Each Class of Shares will have a proportional entitlement to the assets (and liabilities) of the Portfolio (calculated according to the prevailing Net Asset Values of each Class).",3 stars,5 / 7,8,2185,"1,82%",Maantiede,Kehittyvät maat,Kehittyvät maat
Handelsbanken Japan Tema (A1 EUR),EUR,"Sijoitusrahasto Handelsbanken Japani on aktiivisesti hoidettu osakerahasto, joka sijoittaa ensisijaisesti Japanilaisten yritysten pörssinoteerattuihin osakkeisiin. Tavoitteena on ylittää Japanin osakemarkkinoiden keskimääräinen tuotto pitkällä tähtäimellä. Rahasto voi sijoittaa myös japanilaisiin yrityksiin sijoittaviin rahasto-osuuksiin sekä enintään 10% varoista luottoinstituuttien tileille. Salkunhoitoa tehostaakseen rahasto voi käyttää myös johdannaisia, kuten esimerkiksi OTC-johdannaisia. Johdannaissijoitukset eivät vaikuta rahaston riskiin. Rahaston vertailuindeksinä toimii MSCI Japan.",3 stars,5 / 7,8,211,"1,60%",Tyyli,kasvuosakkeet,
